init_date,forecast_date,lead_time_days,morning_dir_low,morning_dir_high,morning_dir_mean,morning_dir_var,afternoon_dir_low,afternoon_dir_high,afternoon_dir_mean,afternoon_dir_var,evening_dir_low,evening_dir_high,evening_dir_mean,evening_dir_var
2026-07-15,2026-07-22,7,307.89278545541,39.84198473655937,353.8673850959847,0.27525065023855455,305.6083751120154,31.380445267830794,348.4944101899231,0.244312998458182,316.1446355891215,50.31457973823308,3.2296076636772955,0.28656759705526846
2026-07-16,2026-07-17,1,319.33637400717487,8.758971590801707,344.0476727989883,0.08881292627478987,310.34930112436587,346.60574674595205,328.47752393515896,0.048821547054637815,320.92543943749996,350.4492958765879,335.6873676570439,0.03264552626233341
2026-07-16,2026-07-18,2,313.2165358223096,328.5827774986836,320.8996566604966,0.008950539108639965,317.5218168316942,333.96887453198747,325.74534568184083,0.010247229504718569,325.4294725891587,345.7714501572787,335.6004613732187,0.015632706364210325
2026-07-16,2026-07-19,3,323.6434968885283,336.07808682819444,329.8607918583614,0.00587015902272614,322.951380659407,340.3152608677079,331.63332076355744,0.01141478538838403,329.75055288742647,355.8616951921059,342.8061240397662,0.02562662368545443
2026-07-16,2026-07-20,4,332.24038392520083,8.467506253900638,350.35394508955073,0.04874456373630942,330.4092774807751,1.4000833932130377,345.90468043699406,0.03590984359850724,338.06447878115057,10.657427202145868,354.3609529916482,0.03964223930171973
2026-07-16,2026-07-21,5,325.6458532536011,14.201146460708856,349.923499857155,0.08585984956315817,327.1426874406779,1.440213175221686,344.2914503079498,0.04380265149465423,337.39639367690825,12.047474885721613,354.72193428131493,0.04468979484562363
2026-07-16,2026-07-22,6,303.51556272211207,5.630899586478392,334.57323115429523,0.13663155837805685,315.65284357552076,349.4931791368194,332.57301135617007,0.04266775757504526,324.97438195120674,15.423575907946088,350.1989789295764,0.09236324548416996
2026-07-16,2026-07-23,7,278.55033999383244,24.13200782614507,331.34117390998875,0.3458802897819695,298.465261061849,4.278245261756638,331.3717531618028,0.15204315969881832,315.32795363167224,31.191047322319832,353.25950047699604,0.1967924369105276
2026-07-17,2026-07-18,1,309.5429935291557,323.0629609937876,316.30297726147165,0.006935943541211298,317.9584960846894,325.47891601977506,321.7187060522322,0.002151202951654385,325.0827088639744,338.99002168539505,332.0363652746847,0.00733758198130352
2026-07-17,2026-07-19,2,323.1361785683469,338.13620811361744,330.6361933409822,0.008530803105666895,321.9652436751952,335.11671836336404,328.5409810192796,0.006564238239970099,326.3565343133864,342.111927214478,334.2342307639322,0.009407459714563804
2026-07-17,2026-07-20,3,336.46643022803073,3.242340930577029,349.8543855793039,0.02693014827157092,334.6325082209549,356.21080015957585,345.4216541902654,0.01757335296845608,347.2523347921644,9.320390787381655,358.286362789773,0.018372677176158092
2026-07-17,2026-07-21,4,319.1890764872191,343.06510544353654,331.1270909653778,0.021472567214514182,316.3367383394956,331.9180770479994,324.1274076937475,0.009201708178057877,322.04050646469693,349.6323958277609,335.8364511462289,0.0285724863775928
2026-07-17,2026-07-22,5,272.35213515546354,352.72929880433196,312.54071697989775,0.21807555812721002,303.4918175088014,334.1985365305034,318.8451770196524,0.035266198800155135,323.0005563328288,338.02332927013225,330.51194280148053,0.008556580843053885
2026-07-17,2026-07-23,6,320.1339190358439,352.2450276452533,336.1894733405486,0.0385014910835767,315.1094603091093,350.10190898681765,332.60568464796347,0.0455541963524978,292.05905532903944,10.9331717014162,331.4961135152278,0.2109163375330506
2026-07-17,2026-07-24,7,232.1195081322455,338.23527653525593,285.17739233375073,0.3486904176112152,255.05119416872103,332.9625813312554,294.0068877499882,0.20636806485858306,225.88074818512928,21.909601846947453,303.89517501603837,0.6042565006402916
